llhd,beta,alpha
-4795.21800146239,36.868421052631604,3.2421052631578897
-4817.83391062847,36.868421052631604,4.28947368421053
-4842.39544343263,36.868421052631604,5.33684210526316
-4868.320037796029,36.868421052631604,6.3842105263157904
-4895.17163802449,36.868421052631604,7.43157894736842
-4922.61447945454,36.868421052631604,8.47894736842105
-4950.38946106578,36.868421052631604,9.52631578947368
-4978.2981577356395,36.868421052631604,10.5736842105263
-5006.19001863022,36.868421052631604,11.6210526315789
-5033.95183367123,36.868421052631604,12.6684210526316
-5061.49924118936,36.868421052631604,13.715789473684199
-5088.7700392447,36.868421052631604,14.7631578947368
-5115.71900224022,36.868421052631604,15.810526315789499
-5142.31390057096,36.868421052631604,16.857894736842102
-5168.53245624558,36.868421052631604,17.905263157894698
-5194.36001581878,36.868421052631604,18.952631578947397
-5219.787769030921,36.868421052631604,20.0
-4755.73893656594,39.4947368421053,0.1
-4767.41599492442,39.4947368421053,1.14736842105263
-4784.96606632836,39.4947368421053,2.19473684210526
-4806.15286142394,39.4947368421053,3.2421052631578897
-4829.77934700924,39.4947368421053,4.28947368421053
-4855.09443053255,39.4947368421053,5.33684210526316
-4881.573250974439,39.4947368421053,6.3842105263157904
-4908.82279867346,39.4947368421053,7.43157894736842
-4936.540627798279,39.4947368421053,8.47894736842105
-4964.4937992108,39.4947368421053,9.52631578947368
-4992.5044846457395,39.4947368421053,10.5736842105263
-5020.43834341469,39.4947368421053,11.6210526315789
-5048.19492689874,39.4947368421053,12.6684210526316
-5075.6999369019895,39.4947368421053,13.715789473684199
-5102.899129899411,39.4947368421053,14.7631578947368
-5129.75359617587,39.4947368421053,15.810526315789499
-5156.23613757027,39.4947368421053,16.857894736842102
-5182.3284995166,39.4947368421053,17.905263157894698
-5208.01925742272,39.4947368421053,18.952631578947397
-5233.30220054979,39.4947368421053,20.0
-4762.4310534863,42.1210526315789,0.1
-4776.2654357103,42.1210526315789,1.14736842105263
-4795.370066346671,42.1210526315789,2.19473684210526
-4817.70555117032,42.1210526315789,3.2421052631578897
-4842.18527054125,42.1210526315789,4.28947368421053
-4868.129655390039,42.1210526315789,5.33684210526316
-4895.06408733696,42.1210526315789,6.3842105263157904
-4922.63308095295,42.1210526315789,7.43157894736842
-4950.56328363014,42.1210526315789,8.47894736842105
-4978.64462820752,42.1210526315789,9.52631578947368
-5006.71730611227,42.1210526315789,10.5736842105263
-5034.6611641095005,42.1210526315789,11.6210526315789
-5062.38692498812,42.1210526315789,12.6684210526316
-5089.82910085239,42.1210526315789,13.715789473684199
-5116.94041534272,42.1210526315789,14.7631578947368
