sample_id,metabolite,flux
Healthy8,val_L_m,0.0061375710000000005
Healthy8,glu_L_m,0.007122518600000001
Healthy8,met_L_m,0.0091368157
Healthy8,pro_L_m,0.008604875
Healthy8,fol_m,0.0006409941
Healthy8,fe3_m,0.0018633818000000002
Healthy8,fe2_m,0.0012783424
Healthy8,k_m,0.0015694105
Healthy8,cl_m,0.0015654887
Healthy8,zn2_m,0.0015540246
Healthy8,ca2_m,0.0015581470000000002
Healthy8,cu2_m,0.0015579027000000001
Healthy8,mn2_m,0.0015580111
Healthy8,cobalt2_m,0.0015579429
Healthy8,mg2_m,0.0015582761
Healthy8,pnto_R_m,0.0002163856
Healthy8,12dgr180_m,1e-06
Healthy8,pydam_m,0.0011875466
Healthy8,spmd_m,0.0002686666
Healthy8,thm_m,0.0002547029
Healthy8,pheme_m,0.00026437090000000003
Healthy8,sheme_m,0.0002168705
Healthy8,ocdcea_m,1e-06
Healthy8,q8_m,4.66184e-05
Healthy8,2dmmq8_m,1e-06
Healthy8,4abz_m,1e-06
Healthy8,indole_m,5.076660000000001e-05
Healthy8,gthox_m,2.1970700000000003e-05
Healthy8,thymd_m,1e-06
Healthy8,amylose300_m,1e-06
Healthy8,galmannan_m,1e-06
Healthy8,xyluglc_m,1e-06
Healthy8,starch1200_m,1e-06
Healthy8,adocbl_m,1e-06
Healthy8,xyl_D_m,1e-06
Healthy8,mqn7_m,3.1313e-06
Healthy8,pydx_m,1.81597e-05
Healthy8,pydxn_m,1.8268400000000003e-05
Healthy8,ncam_m,0.0017249173
Healthy8,no2_m,0.0017023346
Healthy8,gly_m,0.0025185329000000003
Healthy8,phe_L_m,0.0024227795
Healthy8,thr_L_m,0.0052886923
Healthy8,ser_L_m,0.0037107089
Healthy8,ala_D_m,0.0039424503
Healthy8,ala_L_m,0.0039398909000000005
Healthy8,asp_L_m,0.004404389
Healthy8,cys_L_m,0.0036838487000000002
Cancer6,glyc3p_m,0.0968598925
Cancer6,cytd_m,0.0685983574
Cancer6,dcyt_m,0.07615789910000001
Cancer6,cgly_m,0.1000000005
Cancer6,amp_m,0.0999999998
Cancer6,nmn_m,0.0999999999
Cancer6,26dap_M_m,0.09999999920000001
Cancer6,orn_m,0.0999999986
Cancer6,csn_m,0.0016819998
Cancer6,acnam_m,0.09859948240000001
Cancer6,gam_m,0.0957259887
Cancer6,acgam_m,0.09757672340000001
Cancer6,acmana_m,0.097577074
Cancer6,dgsn_m,0.0615430697
Cancer6,gsn_m,0.0413098286
Cancer6,metsox_S_L_m,0.0850845924
Cancer6,adn_m,0.0783276296
Cancer6,dad_2_m,0.0833517208
Cancer6,ptrc_m,0.00012599830000000002
Cancer6,uri_m,1e-06
Cancer6,pi_m,0.018995149700000002
Cancer6,asn_L_m,0.022500000000000003
Cancer6,lys_L_m,0.015
Cancer6,gln_L_m,0.0179999999
Cancer6,arg_L_m,0.015000001300000001
Cancer6,his_L_m,0.0149999975
Cancer6,ade_m,0.0017211960000000001
Cancer6,gua_m,0.001609649
Cancer6,tyr_L_m,0.0038959252000000002
Cancer6,ura_m,1e-06
Cancer6,ile_L_m,0.0115452344
Cancer6,leu_L_m,0.006797324
Cancer6,trp_L_m,0.0081819942
Cancer6,val_L_m,0.0092643811
Cancer6,glu_L_m,0.0070000468000000005
Cancer6,met_L_m,0.0092718122
Cancer6,pro_L_m,0.008688065
Cancer6,fol_m,0.0007612974
Cancer6,fe3_m,0.0012495153
Cancer6,fe2_m,0.0010609810000000001
Cancer6,k_m,0.0011556158
Cancer6,cl_m,0.0011556294
Cancer6,zn2_m,0.0011556223000000001
Cancer6,ca2_m,0.0011556274000000001
Cancer6,cu2_m,0.0011556258
Cancer6,mn2_m,0.0011556261000000001
Cancer6,cobalt2_m,0.0011556263
Cancer6,mg2_m,0.0011556197000000001
Cancer6,pnto_R_m,0.0007704865
Cancer6,12dgr180_m,0.0012941316
Cancer6,pydam_m,0.0005642232
Cancer6,spmd_m,0.0007442261
Cancer6,thm_m,0.0007424696
Cancer6,pheme_m,0.0005394376
Cancer6,sheme_m,0.00023026600000000002
Cancer6,ocdcea_m,0.0004824597
Cancer6,q8_m,0.0003067019
Cancer6,2dmmq8_m,0.0001884858
Cancer6,4abz_m,1.1996000000000002e-05
Cancer6,indole_m,4.09544e-05
Cancer6,gthox_m,2.06688e-05
Cancer6,thymd_m,1e-06
Cancer6,amylose300_m,7.3893e-06
Cancer6,galmannan_m,1e-06
Cancer6,xyluglc_m,1.3100000000000002e-05
Cancer6,starch1200_m,1.16028e-05
Cancer6,adocbl_m,1e-06
Cancer6,xyl_D_m,1e-06
Cancer6,mqn7_m,5.8141e-06
Cancer6,pydx_m,4.57372e-05
Cancer6,pydxn_m,4.59145e-05
Cancer6,ncam_m,0.001659565
Cancer6,no2_m,0.0015608626
Cancer6,gly_m,0.0026203856
Cancer6,phe_L_m,0.0022160672
Cancer6,thr_L_m,0.0074898842000000005
Cancer6,ser_L_m,0.004305248
Cancer6,ala_D_m,0.0046674808
